comparison,mean_diff,p_val_tukey,95%_ci_low,95%_ci_up,dof_between,dof_within,F_1way_anova,p_1way_anova
"('layer34a', 'layer23')",-0.118951246,0.0,-0.15915072,-0.07875178,18,33195,267.29165646166956,0.0
"('layer34a', 'layer24')",0.028165234,0.8189306,-0.018253114,0.07458358,18,33195,267.29165646166956,0.0
"('layer34a', 'layer25')",0.039023288,0.23845558,-0.0073950603,0.085441634,18,33195,267.29165646166956,0.0
"('layer34a', 'layer26')",-0.16696113,0.0,-0.21337949,-0.12054279,18,33195,267.29165646166956,0.0
"('layer34a', 'layer27')",0.18485089,0.0,0.12800026,0.24170151,18,33195,267.29165646166956,0.0
"('layer34a', 'layer28')",0.27063328,0.0,0.21378265,0.32748392,18,33195,267.29165646166956,0.0
"('layer34a', 'layer29')",0.20124441,0.0,0.14439379,0.25809506,18,33195,267.29165646166956,0.0
"('layer34a', 'layer30')",0.28384352,0.0,0.22699289,0.34069416,18,33195,267.29165646166956,0.0
"('layer34a', 'layer31')",0.1748887,0.0,0.118038066,0.23173933,18,33195,267.29165646166956,0.0
"('layer34a', 'layer32')",-0.036280748,0.7489572,-0.09313138,0.020569885,18,33195,267.29165646166956,0.0
"('layer34a', 'layer33a')",-0.015499916,0.9999843,-0.07235055,0.04135072,18,33195,267.29165646166956,0.0
"('layer34a', 'layer34a')",0.0,1.0,-0.046418346,0.046418346,18,33195,267.29165646166956,0.0
"('layer34a', 'layer35a')",-0.05493894,0.00024842928,-0.095142774,-0.014735105,18,33195,267.29165646166956,0.0
"('layer34a', 'layer36a')",-0.012052823,0.9999357,-0.052252293,0.028146645,18,33195,267.29165646166956,0.0
"('layer34a', 'layer37')",-0.07692227,0.3701742,-0.17539045,0.021545919,18,33195,267.29165646166956,0.0
"('layer35a', 'layer19')",0.083200395,0.0,0.05037232,0.116028465,18,33195,267.29165646166956,0.0
"('layer35a', 'layer20')",0.30398238,0.0,0.2711543,0.33681044,18,33195,267.29165646166956,0.0
