comparison,mean_diff,p_val_tukey,95%_ci_low,95%_ci_up,dof_between,dof_within,F_1way_anova,p_1way_anova
"('layer34a', 'layer28')",-0.07187173,0.0,-0.09331154,-0.050431915,18,33195,5044.077351770932,0.0
"('layer34a', 'layer29')",-0.05990082,0.0,-0.08134063,-0.038461007,18,33195,5044.077351770932,0.0
"('layer34a', 'layer30')",-0.033856496,4.7252097e-06,-0.05529631,-0.012416681,18,33195,5044.077351770932,0.0
"('layer34a', 'layer31')",-0.0052078813,0.9999974,-0.026647696,0.016231934,18,33195,5044.077351770932,0.0
"('layer34a', 'layer32')",-0.0056489557,0.9999907,-0.02708877,0.01579086,18,33195,5044.077351770932,0.0
"('layer34a', 'layer33a')",0.021067128,0.060798835,-0.00037268735,0.04250694,18,33195,5044.077351770932,0.0
"('layer34a', 'layer34a')",0.0,1.0,-0.017505536,0.017505536,18,33195,5044.077351770932,0.0
"('layer34a', 'layer35a')",0.027748257,2.1019762e-08,0.012586372,0.04291014,18,33195,5044.077351770932,0.0
"('layer34a', 'layer36a')",-0.03627099,0.0,-0.05143123,-0.021110753,18,33195,5044.077351770932,0.0
"('layer34a', 'layer37')",-0.06341392,3.2550685e-07,-0.10054877,-0.02627907,18,33195,5044.077351770932,0.0
"('layer35a', 'layer19')",-0.5980321,0.0,-0.6104124,-0.5856518,18,33195,5044.077351770932,0.0
"('layer35a', 'layer20')",-0.5887487,0.0,-0.601129,-0.5763684,18,33195,5044.077351770932,0.0
"('layer35a', 'layer21')",-0.44352534,0.0,-0.45590565,-0.43114504,18,33195,5044.077351770932,0.0
"('layer35a', 'layer22')",-0.5057558,0.0,-0.5181361,-0.49337548,18,33195,5044.077351770932,0.0
"('layer35a', 'layer23')",-0.4175233,0.0,-0.4299036,-0.405143,18,33195,5044.077351770932,0.0
"('layer35a', 'layer24')",-0.31951076,0.0,-0.33467263,-0.3043489,18,33195,5044.077351770932,0.0
"('layer35a', 'layer25')",-0.14162827,0.0,-0.15679015,-0.12646638,18,33195,5044.077351770932,0.0
"('layer35a', 'layer26')",-0.090547144,0.0,-0.10570903,-0.07538526,18,33195,5044.077351770932,0.0
"('layer35a', 'layer27')",-0.16411537,0.0,-0.18368843,-0.1445423,18,33195,5044.077351770932,0.0
"('layer35a', 'layer28')",-0.099619985,0.0,-0.11919304,-0.08004693,18,33195,5044.077351770932,0.0
"('layer35a', 'layer29')",-0.08764908,0.0,-0.10722213,-0.06807602,18,33195,5044.077351770932,0.0
"('layer35a', 'layer30')",-0.061604753,0.0,-0.08117781,-0.042031694,18,33195,5044.077351770932,0.0
"('layer35a', 'layer31')",-0.03295614,5.4391097e-07,-0.052529197,-0.013383079,18,33195,5044.077351770932,0.0
"('layer35a', 'layer32')",-0.033397213,3.353672e-07,-0.05297027,-0.013824154,18,33195,5044.077351770932,0.0
"('layer35a', 'layer33a')",-0.0066811293,0.99959844,-0.026254188,0.01289193,18,33195,5044.077351770932,0.0
"('layer35a', 'layer34a')",-0.027748257,2.1019762e-08,-0.04291014,-0.012586372,18,33195,5044.077351770932,0.0
"('layer35a', 'layer35a')",0.0,1.0,-0.012382315,0.012382315,18,33195,5044.077351770932,0.0
"('layer35a', 'layer36a')",-0.06401925,0.0,-0.07639955,-0.05163895,18,33195,5044.077351770932,0.0
"('layer35a', 'layer37')",-0.091162175,0.0,-0.12725145,-0.055072896,18,33195,5044.077351770932,0.0
"('layer36a', 'layer19')",-0.5340129,0.0,-0.5463912,-0.52163464,18,33195,5044.077351770932,0.0
